CI_LGAa_data2
Postcode,Year,Incidents Recorded
3567,2021,107
3575,2021,107
3579,2021,107
3260,2021,68
3264,2021,68
3266,2021,68
3268,2021,68
3270,2021,68
3271,2021,68
3272,2021,68
3273,2021,68
3274,2021,68
3275,2021,68
3249,2021,123
3250,2021,123
3251,2021,123
3254,2021,123
3256,2021,123
3260,2021,123
3264,2021,123
3266,2021,123
3268,2021,123
3270,2021,123
3450,2021,103
3451,2021,103
3452,2021,103
3453,2021,103
3454,2021,103
3455,2021,103
3456,2021,103
3461,2021,103
3564,2021,273
3565,2021,273
3566,2021,273
3567,2021,273
3568,2021,273
3570,2021,273
3571,2021,273
3572,2021,273
3575,2021,273
3480,2021,41
3482,2021,41
3483,2021,41
3487,2021,41
3490,2021,41
3491,2021,41
3350,2021,1027
3352,2021,1027
3353,2021,1027
3354,2021,1027
3355,2021,1027
3356,2021,1027
3357,2021,1027
3377,2021,155
3378,2021,155
3379,2021,155
3380,2021,155
3381,2021,155
3384,2021,155
3385,2021,155
